"Samples","Treatment","Number_of_reps","Median_AI_mod","Median_NOSC","Median_DBE","Median_Gibbs","Median_Gibbs_Compound","Median_Lambda"
"EC_089_SIR-D","Dry",5,0.269230769230769,-0.56,11,-146.517735763941,-3912.27650328336,0.0309099533831956
"EC_090_SIR-D","Dry",5,0.304347826086957,-0.5,11,-145.832463084569,-3588.26888933713,0.0340779302587702
"EC_091_SIR-D","Dry",5,0.294117647058824,-0.457142857142857,11,-145.408246664005,-3563.97655785652,0.0348573906393092
"EC_092_SIR-D","Dry",5,0.290322580645161,-0.461538461538462,11,-145.573946354965,-3555.45347953414,0.0348071663619951
"EC_093_SIR-D","Dry",5,0.28125,-0.545454545454546,11,-146.441121427117,-3772.16883476397,0.0324564927836795
"EC_094_SIR-D","Dry",5,0.272727272727273,-0.526315789473684,11,-146.206771690949,-3724.96881657292,0.0330260019514621
"EC_095_SIR-D","Dry",5,0.238095238095238,-0.606060606060606,10,-146.714343675216,-3578.36116624458,0.0334051354538965
"EC_005_SIR-W","Wet",5,0.306122448979592,-0.421052631578948,12,-144.935436781822,-3617.03810611325,0.03464195762036
"EC_009_SIR-W","Wet",5,0.28,-0.461538461538462,11,-145.445135048402,-3450.98424456697,0.0360100334842931
"EC_011_SIR-W","Wet",5,0.282051282051282,-0.457142857142857,11,-145.497555384124,-3425.14579282369,0.0361550796818992
"EC_012_SIR-W","Wet",5,0.28,-0.461538461538462,11,-145.450334512339,-3345.23810611325,0.036771203690306
"EC_013_SIR-W","Wet",5,0.318181818181818,-0.384615384615385,12,-144.600389244925,-3500.47657604758,0.0361759632727863
"EC_014_SIR-W","Wet",5,0.28,-0.444444444444445,11,-144.967061586619,-3266.81508236402,0.038075318626175
"EC_017_SIR-W","Wet",5,0.302325581395349,-0.413793103448276,12,-144.880552219317,-3687.03806973114,0.0342842206701974
